id,overlapping,under_carbon,over_carbon,isolated
optimized_MOF_net-apo_node1-N48_node2-orgN5_edge1-E8_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pry_node1-N81_node2-orgN14_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pry_node1-N52_node2-orgN26_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pth_node1-N78_node2-orgN18_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N44_node2-orgN8_edge1-E15_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N13_node2-orgN8_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-iac_node1-N18_node2-N49_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-zzz_node1-N46_node2-orgN8_edge1-E1_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-ssa_node1-N57_node2-N24_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N39_node2-N66_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N69_node2-orgN26_edge1-E0_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N52_node2-orgN9_edge1-E3_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-cml_node1-N38_node2-orgN14_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N13_node2-orgN22_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-nom_node1-N78_node2-orgN18_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N78_node2-orgN1_edge1-E9_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N83_node2-N58_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N73_node2-N57_edge1-E15_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N52_node2-N66_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-scu_node1-N80_node2-N57_edge1-E3_Chen_Manz_mofchecker,TRUE,FALSE,FALSE,FALSE
optimized_MOF_net-sit_node1-N52_node2-orgN14_edge1-none_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N46_node2-orgN22_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N48_node2-orgN8_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N49_node2-orgN5_edge1-E3_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,TRUE
optimized_MOF_net-pth_node1-N18_node2-N41_edge1-E2_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-apo_node1-N44_node2-orgN8_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N46_node2-orgN8_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N13_node2-orgN17_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-gar_node1-N78_node2-N46_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-ssc_node1-N18_node2-orgN10_edge1-E0_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-wgi_node1-N86_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-nom_node1-N10_node2-orgN19_edge1-none_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-ptr_node1-N74_node2-orgN19_edge1-E3_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pts_node1-N57_node2-N10_edge1-E6_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-pyr_node1-N30_node2-orgN14_edge1-E3_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-ssa_node1-N57_node2-N24_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
